Date,Price
2022-11-09,14343
2022-11-10,11918
2022-11-11,13794
2022-11-12,13518
2022-11-13,13020
2022-11-14,12721
2022-11-15,13037
2022-11-16,13112
2022-11-17,12772
2022-11-18,12748
2022-11-19,12902
2022-11-20,12965
2022-11-21,12185
2022-11-22,11892
2022-11-23,12076
2022-11-24,12367
2022-11-25,12527
2022-11-26,12511
2022-11-27,12581
2022-11-28,12510
2022-11-29,12348
2022-11-30,12900
2022-12-01,13612
2022-12-02,13156
2022-12-03,13362
2022-12-04,12836
2022-12-05,13239
2022-12-06,13108
2022-12-07,13248
2022-12-08,12805
2022-12-09,13231
2022-12-10,13119
2022-12-11,13091
2022-12-12,13078
2022-12-13,13172
2022-12-14,13480
2022-12-15,13309
2022-12-16,13076
2022-12-17,12140
2022-12-18,12384
2022-12-19,12359
2022-12-20,12124
2022-12-21,12689
2022-12-22,12643
2022-12-23,12744
2022-12-24,12857
2022-12-25,12863
2022-12-26,12836
2022-12-27,12867
2022-12-28,12698
2022-12-29,12438
2022-12-30,12567
2022-12-31,12503
