Date,Price,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2018-01-06,8583,8199.0,7959.0,7879.0,7155.0,6345.0,Down
2018-01-07,9267,8583.0,8199.0,7959.0,7879.0,7155.0,Up
2018-01-08,9723,9267.0,8583.0,8199.0,7959.0,7879.0,Up
2018-01-09,11216,9723.0,9267.0,8583.0,8199.0,7959.0,Up
2018-01-10,11023,11216.0,9723.0,9267.0,8583.0,8199.0,Down
2018-01-11,9608,11023.0,11216.0,9723.0,9267.0,8583.0,Down
2018-01-12,10591,9608.0,11023.0,11216.0,9723.0,9267.0,Up
2018-01-13,11655,10591.0,9608.0,11023.0,11216.0,9723.0,Up
2018-01-14,11342,11655.0,10591.0,9608.0,11023.0,11216.0,Down
2018-01-15,10660,11342.0,11655.0,10591.0,9608.0,11023.0,Down
2018-01-16,8586,10660.0,11342.0,11655.0,10591.0,9608.0,Down
2018-01-17,8228,8586.0,10660.0,11342.0,11655.0,10591.0,Down
2018-01-18,8306,8228.0,8586.0,10660.0,11342.0,11655.0,Up
2018-01-19,8421,8306.0,8228.0,8586.0,10660.0,11342.0,Up
2018-01-20,9435,8421.0,8306.0,8228.0,8586.0,10660.0,Up
2018-01-21,8458,9435.0,8421.0,8306.0,8228.0,8586.0,Down
2018-01-22,8030,8458.0,9435.0,8421.0,8306.0,8228.0,Down
2018-01-23,7935,8030.0,8458.0,9435.0,8421.0,8306.0,Down
2018-01-24,8384,7935.0,8030.0,8458.0,9435.0,8421.0,Up
2018-01-25,8401,8384.0,7935.0,8030.0,8458.0,9435.0,Up
2018-01-26,8253,8401.0,8384.0,7935.0,8030.0,8458.0,Down
2018-01-27,8623,8253.0,8401.0,8384.0,7935.0,8030.0,Up
2018-01-28,9740,8623.0,8253.0,8401.0,8384.0,7935.0,Up
2018-01-29,9227,9740.0,8623.0,8253.0,8401.0,8384.0,Down
2018-01-30,9162,9227.0,9740.0,8623.0,8253.0,8401.0,Down
2018-01-31,8347,9162.0,9227.0,9740.0,8623.0,8253.0,Down
2018-02-01,8716,8347.0,9162.0,9227.0,9740.0,8623.0,Up
2018-02-02,8011,8716.0,8347.0,9162.0,9227.0,9740.0,Down
2018-02-03,7230,8011.0,8716.0,8347.0,9162.0,9227.0,Down
2018-02-04,7445,7230.0,8011.0,8716.0,8347.0,9162.0,Up
2018-02-05,6608,7445.0,7230.0,8011.0,8716.0,8347.0,Down
2018-02-06,5458,6608.0,7445.0,7230.0,8011.0,8716.0,Down
2018-02-07,6245,5458.0,6608.0,7445.0,7230.0,8011.0,Up
2018-02-08,6080,6245.0,5458.0,6608.0,7445.0,7230.0,Down
2018-02-09,6549,6080.0,6245.0,5458.0,6608.0,7445.0,Up
2018-02-10,7042,6549.0,6080.0,6245.0,5458.0,6608.0,Up
2018-02-11,6907,7042.0,6549.0,6080.0,6245.0,5458.0,Down
2018-02-12,6618,6907.0,7042.0,6549.0,6080.0,6245.0,Down
2018-02-13,6954,6618.0,6907.0,7042.0,6549.0,6080.0,Up
2018-02-14,6694,6954.0,6618.0,6907.0,7042.0,6549.0,Down
2018-02-15,7280,6694.0,6954.0,6618.0,6907.0,7042.0,Up
2018-02-16,7361,7280.0,6694.0,6954.0,6618.0,6907.0,Up
2018-02-17,7449,7361.0,7280.0,6694.0,6954.0,6618.0,Up
2018-02-18,7685,7449.0,7361.0,7280.0,6694.0,6954.0,Up
2018-02-19,7283,7685.0,7449.0,7361.0,7280.0,6694.0,Down
2018-02-20,7420,7283.0,7685.0,7449.0,7361.0,7280.0,Up
2018-02-21,7312,7420.0,7283.0,7685.0,7449.0,7361.0,Down
2018-02-22,6568,7312.0,7420.0,7283.0,7685.0,7449.0,Down
2018-02-23,6593,6568.0,7312.0,7420.0,7283.0,7685.0,Up
2018-02-24,7065,6593.0,6568.0,7312.0,7420.0,7283.0,Up
2018-02-25,6771,7065.0,6593.0,6568.0,7312.0,7420.0,Down
2018-02-26,6895,6771.0,7065.0,6593.0,6568.0,7312.0,Up
2018-02-27,7044,6895.0,6771.0,7065.0,6593.0,6568.0,Up
2018-02-28,7151,7044.0,6895.0,6771.0,7065.0,6593.0,Up
2018-03-01,7017,7151.0,7044.0,6895.0,6771.0,7065.0,Down
2018-03-02,7057,7017.0,7151.0,7044.0,6895.0,6771.0,Up
2018-03-03,7017,7057.0,7017.0,7151.0,7044.0,6895.0,Down
2018-03-04,6966,7017.0,7057.0,7017.0,7151.0,7044.0,Down
2018-03-05,6953,6966.0,7017.0,7057.0,7017.0,7151.0,Down
2018-03-06,6942,6953.0,6966.0,7017.0,7057.0,7017.0,Down
2018-03-07,6639,6942.0,6953.0,6966.0,7017.0,7057.0,Down
2018-03-08,6189,6639.0,6942.0,6953.0,6966.0,7017.0,Down
2018-03-09,5781,6189.0,6639.0,6942.0,6953.0,6966.0,Down
2018-03-10,5864,5781.0,6189.0,6639.0,6942.0,6953.0,Up
2018-03-11,5650,5864.0,5781.0,6189.0,6639.0,6942.0,Down
2018-03-12,5878,5650.0,5864.0,5781.0,6189.0,6639.0,Up
2018-03-13,5729,5878.0,5650.0,5864.0,5781.0,6189.0,Down
2018-03-14,5624,5729.0,5878.0,5650.0,5864.0,5781.0,Down
2018-03-15,4979,5624.0,5729.0,5878.0,5650.0,5864.0,Down
2018-03-16,5012,4979.0,5624.0,5729.0,5878.0,5650.0,Up
2018-03-17,4993,5012.0,4979.0,5624.0,5729.0,5878.0,Down
2018-03-18,4601,4993.0,5012.0,4979.0,5624.0,5729.0,Down
2018-03-19,4415,4601.0,4993.0,5012.0,4979.0,5624.0,Down
2018-03-20,4531,4415.0,4601.0,4993.0,5012.0,4979.0,Up
2018-03-21,4555,4531.0,4415.0,4601.0,4993.0,5012.0,Up
2018-03-22,4595,4555.0,4531.0,4415.0,4601.0,4993.0,Up
2018-03-23,4431,4595.0,4555.0,4531.0,4415.0,4601.0,Down
2018-03-24,4429,4431.0,4595.0,4555.0,4531.0,4415.0,Down
2018-03-25,4276,4429.0,4431.0,4595.0,4555.0,4531.0,Down
2018-03-26,4282,4276.0,4429.0,4431.0,4595.0,4555.0,Up
2018-03-27,3990,4282.0,4276.0,4429.0,4431.0,4595.0,Down
2018-03-28,3695,3990.0,4282.0,4276.0,4429.0,4431.0,Down
2018-03-29,3710,3695.0,3990.0,4282.0,4276.0,4429.0,Up
2018-03-30,3221,3710.0,3695.0,3990.0,4282.0,4276.0,Down
2018-03-31,3298,3221.0,3710.0,3695.0,3990.0,4282.0,Up
2018-04-01,3302,3298.0,3221.0,3710.0,3695.0,3990.0,Up
2018-04-02,3166,3302.0,3298.0,3221.0,3710.0,3695.0,Down
2018-04-03,3233,3166.0,3302.0,3298.0,3221.0,3710.0,Up
2018-04-04,3487,3233.0,3166.0,3302.0,3298.0,3221.0,Up
2018-04-05,3192,3487.0,3233.0,3166.0,3302.0,3298.0,Down
2018-04-06,3240,3192.0,3487.0,3233.0,3166.0,3302.0,Up
2018-04-07,3104,3240.0,3192.0,3487.0,3233.0,3166.0,Down
2018-04-08,3217,3104.0,3240.0,3192.0,3487.0,3233.0,Up
2018-04-09,3333,3217.0,3104.0,3240.0,3192.0,3487.0,Up
2018-04-10,3333,3333.0,3217.0,3104.0,3240.0,3192.0,Down
2018-04-11,3425,3333.0,3333.0,3217.0,3104.0,3240.0,Up
2018-04-12,3558,3425.0,3333.0,3333.0,3217.0,3104.0,Up
2018-04-13,4109,3558.0,3425.0,3333.0,3333.0,3217.0,Up
2018-04-14,4144,4109.0,3558.0,3425.0,3333.0,3333.0,Up
2018-04-15,4195,4144.0,4109.0,3558.0,3425.0,3333.0,Up
2018-04-16,4454,4195.0,4144.0,4109.0,3558.0,3425.0,Up
2018-04-17,4267,4454.0,4195.0,4144.0,4109.0,3558.0,Down
2018-04-18,4188,4267.0,4454.0,4195.0,4144.0,4109.0,Down
2018-04-19,4347,4188.0,4267.0,4454.0,4195.0,4144.0,Up
2018-04-20,4761,4347.0,4188.0,4267.0,4454.0,4195.0,Up
2018-04-21,4985,4761.0,4347.0,4188.0,4267.0,4454.0,Up
2018-04-22,5070,4985.0,4761.0,4347.0,4188.0,4267.0,Up
2018-04-23,5219,5070.0,4985.0,4761.0,4347.0,4188.0,Up
2018-04-24,5419,5219.0,5070.0,4985.0,4761.0,4347.0,Up
2018-04-25,5998,5419.0,5219.0,5070.0,4985.0,4761.0,Up
2018-04-26,5252,5998.0,5419.0,5219.0,5070.0,4985.0,Down
2018-04-27,5687,5252.0,5998.0,5419.0,5219.0,5070.0,Up
2018-04-28,5558,5687.0,5252.0,5998.0,5419.0,5219.0,Down
2018-04-29,5823,5558.0,5687.0,5252.0,5998.0,5419.0,Up
2018-04-30,5898,5823.0,5558.0,5687.0,5252.0,5998.0,Up
2018-05-01,5797,5898.0,5823.0,5558.0,5687.0,5252.0,Down
2018-05-02,5885,5797.0,5898.0,5823.0,5558.0,5687.0,Up
2018-05-03,6034,5885.0,5797.0,5898.0,5823.0,5558.0,Up
2018-05-04,6885,6034.0,5885.0,5797.0,5898.0,5823.0,Up
2018-05-05,6846,6885.0,6034.0,5885.0,5797.0,5898.0,Down
2018-05-06,7102,6846.0,6885.0,6034.0,5885.0,5797.0,Up
2018-05-07,6926,7102.0,6846.0,6885.0,6034.0,5885.0,Down
2018-05-08,6611,6926.0,7102.0,6846.0,6885.0,6034.0,Down
2018-05-09,6558,6611.0,6926.0,7102.0,6846.0,6885.0,Down
2018-05-10,6478,6558.0,6611.0,6926.0,7102.0,6846.0,Down
2018-05-11,6205,6478.0,6558.0,6611.0,6926.0,7102.0,Down
2018-05-12,5807,6205.0,6478.0,6558.0,6611.0,6926.0,Down
2018-05-13,5875,5807.0,6205.0,6478.0,6558.0,6611.0,Up
2018-05-14,6242,5875.0,5807.0,6205.0,6478.0,6558.0,Up
2018-05-15,6287,6242.0,5875.0,5807.0,6205.0,6478.0,Up
2018-05-16,6113,6287.0,6242.0,5875.0,5807.0,6205.0,Down
2018-05-17,6107,6113.0,6287.0,6242.0,5875.0,5807.0,Down
2018-05-18,5819,6107.0,6113.0,6287.0,6242.0,5875.0,Down
2018-05-19,6006,5819.0,6107.0,6113.0,6287.0,6242.0,Up
2018-05-20,6003,6006.0,5819.0,6107.0,6113.0,6287.0,Down
2018-05-21,6165,6003.0,6006.0,5819.0,6107.0,6113.0,Up
2018-05-22,5977,6165.0,6003.0,6006.0,5819.0,6107.0,Down
2018-05-23,5566,5977.0,6165.0,6003.0,6006.0,5819.0,Down
2018-05-24,5085,5566.0,5977.0,6165.0,6003.0,6006.0,Down
2018-05-25,5237,5085.0,5566.0,5977.0,6165.0,6003.0,Up
2018-05-26,5105,5237.0,5085.0,5566.0,5977.0,6165.0,Down
2018-05-27,5089,5105.0,5237.0,5085.0,5566.0,5977.0,Down
2018-05-28,4946,5089.0,5105.0,5237.0,5085.0,5566.0,Down
2018-05-29,4514,4946.0,5089.0,5105.0,5237.0,5085.0,Down
