Date,Price
2022-01-01,33362
2022-01-02,34212
2022-01-03,34704
2022-01-04,34335
2022-01-05,34526
2022-01-06,32414
2022-01-07,31252
2022-01-08,28976
2022-01-09,28064
2022-01-10,28596
2022-01-11,28090
2022-01-12,29338
2022-01-13,30225
2022-01-14,29087
2022-01-15,29894
2022-01-16,30068
2022-01-17,30282
2022-01-18,29015
2022-01-19,28933
2022-01-20,28221
2022-01-21,27824
2022-01-22,23564
2022-01-23,22122
2022-01-24,23325
2022-01-25,22673
2022-01-26,22820
2022-01-27,22999
2022-01-28,22650
2022-01-29,24052
2022-01-30,24547
2022-01-31,24602
2022-02-01,25094
2022-02-02,25888
2022-02-03,24751
2022-02-04,24270
2022-02-05,27388
2022-02-06,27622
2022-02-07,28012
2022-02-08,28744
2022-02-09,28588
2022-02-10,29550
2022-02-11,28714
2022-02-12,27366
2022-02-13,27263
2022-02-14,26882
2022-02-15,27553
2022-02-16,29539
2022-02-17,29036
2022-02-18,26904
2022-02-19,26234
2022-02-20,26014
2022-02-21,24751
2022-02-22,24323
2022-02-23,24675
2022-02-24,24379
2022-02-25,24699
2022-02-26,26041
2022-02-27,26170
2022-02-28,25143
2022-03-01,27629
2022-03-02,28695
2022-03-03,28588
2022-03-04,27647
2022-03-05,25674
2022-03-06,26226
2022-03-07,25405
2022-03-08,24944
2022-03-09,25614
2022-03-10,26435
2022-03-11,25290
2022-03-12,24981
2022-03-13,25143
2022-03-14,24481
2022-03-15,24930
2022-03-16,25188
2022-03-17,26126
2022-03-18,26525
2022-03-19,27711
2022-03-20,27725
2022-03-21,26956
2022-03-22,27494
2022-03-23,28062
2022-03-24,28615
2022-03-25,29208
2022-03-26,29382
2022-03-27,29711
2022-03-28,30930
2022-03-29,31567
2022-03-30,31717
2022-03-31,31310
2022-04-01,30822
2022-04-02,32349
2022-04-03,32235
2022-04-04,33013
2022-04-05,33181
2022-04-06,32271
2022-04-07,30086
2022-04-08,30599
2022-04-09,30162
2022-04-10,30861
2022-04-11,30390
2022-04-12,28474
2022-04-13,28930
2022-04-14,29562
2022-04-15,28811
2022-04-16,29126
2022-04-17,29326
2022-04-18,28661
2022-04-19,29388
2022-04-20,29612
2022-04-21,29097
2022-04-22,28417
2022-04-23,28433
2022-04-24,28180
2022-04-25,27842
2022-04-26,29221
2022-04-27,27615
2022-04-28,28438
2022-04-29,28989
2022-04-30,27698
2022-05-01,26918
2022-05-02,27817
2022-05-03,28366
2022-05-04,27496
2022-05-05,28655
2022-05-06,27394
2022-05-07,26865
2022-05-08,26283
2022-05-09,25095
2022-05-10,22701
2022-05-11,23629
2022-05-12,20969
2022-05-13,19969
2022-05-14,20169
2022-05-15,20711
2022-05-16,21616
2022-05-17,20381
2022-05-18,20797
2022-05-19,19241
2022-05-20,20081
2022-05-21,19525
2022-05-22,19665
2022-05-23,20331
2022-05-24,19404
2022-05-25,19316
2022-05-26,19172
2022-05-27,17826
2022-05-28,16927
2022-05-29,17651
2022-05-30,17832
2022-05-31,19467
2022-06-01,18973
2022-06-02,18006
2022-06-03,17776
2022-06-04,17353
2022-06-05,17622
2022-06-06,17628
2022-06-07,18225
2022-06-08,17826
2022-06-09,17635
2022-06-10,17730
2022-06-11,16691
2022-06-12,15345
2022-06-13,14610
2022-06-14,12290
2022-06-15,12367
2022-06-16,12507
2022-06-17,10847
2022-06-18,11067
2022-06-19,10132
2022-06-20,11462
2022-06-21,11449
2022-06-22,11364
2022-06-23,10622
2022-06-24,11652
2022-06-25,12458
2022-06-26,12610
2022-06-27,12151
2022-06-28,12045
2022-06-29,11610
2022-06-30,11249
2022-07-01,10822
2022-07-02,11012
2022-07-03,11009
2022-07-04,11080
2022-07-05,11914
2022-07-06,11919
2022-07-07,12526
2022-07-08,13049
2022-07-09,12947
2022-07-10,12764
2022-07-11,12314
2022-07-12,11671
2022-07-13,11011
2022-07-14,11783
2022-07-15,12599
2022-07-16,12947
2022-07-17,14221
2022-07-18,14077
2022-07-19,16329
2022-07-20,15774
2022-07-21,15662
2022-07-22,16071
2022-07-23,15703
2022-07-24,15862
2022-07-25,16377
2022-07-26,14783
2022-07-27,14839
2022-07-28,16730
2022-07-29,17600
2022-07-30,17643
2022-07-31,17214
2022-08-01,17140
2022-08-02,16559
2022-08-03,16810
2022-08-04,16574
2022-08-05,16298
2022-08-06,17613
2022-08-07,17269
2022-08-08,17354
2022-08-09,18015
2022-08-10,17280
2022-08-11,18627
2022-08-12,18940
2022-08-13,19995
2022-08-14,20230
2022-08-15,19765
2022-08-16,19743
2022-08-17,19444
2022-08-18,19073
2022-08-19,19443
2022-08-20,17136
2022-08-21,16724
2022-08-22,17198
2022-08-23,17382
2022-08-24,17719
2022-08-25,17597
2022-08-26,17979
2022-08-27,16133
2022-08-28,15982
2022-08-29,15406
2022-08-30,16573
2022-08-31,16284
2022-09-01,16586
2022-09-02,17151
2022-09-03,16984
2022-09-04,16774
2022-09-05,17106
2022-09-06,17447
2022-09-07,16908
2022-09-08,17451
2022-09-09,17507
2022-09-10,18257
2022-09-11,18914
2022-09-12,18633
2022-09-13,17921
2022-09-14,16820
2022-09-15,17483
2022-09-16,15817
2022-09-17,14947
2022-09-18,15354
2022-09-19,14337
2022-09-20,14863
2022-09-21,14426
2022-09-22,13901
2022-09-23,14732
2022-09-24,15015
2022-09-25,14892
2022-09-26,14627
2022-09-27,15142
2022-09-28,15132
2022-09-29,15045
2022-09-30,14876
2022-10-01,14755
2022-10-02,14557
2022-10-03,14197
2022-10-04,14566
2022-10-05,14793
2022-10-06,14793
2022-10-07,15075
2022-10-08,14865
2022-10-09,14743
2022-10-10,14855
2022-10-11,14583
2022-10-12,14553
2022-10-13,14668
2022-10-14,14501
2022-10-15,14675
2022-10-16,14427
2022-10-17,14737
2022-10-18,14853
2022-10-19,14529
2022-10-20,14427
2022-10-21,14468
2022-10-22,14534
2022-10-23,14699
2022-10-24,15285
2022-10-25,14972
2022-10-26,16043
2022-10-27,17013
2022-10-28,16599
2022-10-29,17024
2022-10-30,17729
2022-10-31,17459
2022-11-01,17357
2022-11-02,17417
2022-11-03,16907
2022-11-04,17138
2022-11-05,18099
2022-11-06,17908
2022-11-07,17208
2022-11-08,17029
2022-11-09,14343
2022-11-10,11918
2022-11-11,13794
2022-11-12,13518
2022-11-13,13020
2022-11-14,12721
2022-11-15,13037
2022-11-16,13112
2022-11-17,12772
2022-11-18,12748
2022-11-19,12902
2022-11-20,12965
2022-11-21,12185
2022-11-22,11892
2022-11-23,12076
2022-11-24,12367
2022-11-25,12527
2022-11-26,12511
2022-11-27,12581
2022-11-28,12510
2022-11-29,12348
2022-11-30,12900
2022-12-01,13612
2022-12-02,13156
2022-12-03,13362
2022-12-04,12836
2022-12-05,13239
