Date,Price
2021-01-01,6077
2021-01-02,6038
2021-01-03,6431
2021-01-04,7926
2021-01-05,8449
2021-01-06,9023
2021-01-07,9862
2021-01-08,10065
2021-01-09,10087
2021-01-10,10577
2021-01-11,10470
2021-01-12,9079
2021-01-13,8619
2021-01-14,9444
2021-01-15,10116
2021-01-16,9856
2021-01-17,10363
2021-01-18,10331
2021-01-19,10545
2021-01-20,11532
2021-01-21,11556
2021-01-22,9292
2021-01-23,10262
2021-01-24,10217
2021-01-25,11555
2021-01-26,10965
2021-01-27,11251
2021-01-28,10488
2021-01-29,11089
2021-01-30,11539
2021-01-31,11473
2021-02-01,11037
2021-02-02,11524
2021-02-03,12720
2021-02-04,13950
2021-02-05,13428
2021-02-06,14442
2021-02-07,14099
2021-02-08,13471
2021-02-09,14691
2021-02-10,14731
2021-02-11,14469
2021-02-12,14831
2021-02-13,15287
2021-02-14,15035
2021-02-15,14988
2021-02-16,14708
2021-02-17,14791
2021-02-18,15363
2021-02-19,16108
2021-02-20,16307
2021-02-21,15972
2021-02-22,16051
2021-02-23,14792
2021-02-24,12949
2021-02-25,13472
2021-02-26,12196
2021-02-27,12243
2021-02-28,12489
2021-03-01,11927
2021-03-02,13232
2021-03-03,12555
2021-03-04,13318
2021-03-05,13148
2021-03-06,13130
2021-03-07,14178
2021-03-08,14721
2021-03-09,15764
2021-03-10,15889
2021-03-11,15285
2021-03-12,15434
2021-03-13,15011
2021-03-14,16340
2021-03-15,15835
2021-03-16,15252
2021-03-17,15374
2021-03-18,15453
2021-03-19,15161
2021-03-20,15419
2021-03-21,15425
2021-03-22,15322
2021-03-23,14364
2021-03-24,14408
2021-03-25,13624
2021-03-26,13726
2021-03-27,14692
2021-03-28,14808
2021-03-29,14604
2021-03-30,15794
2021-03-31,16071
2021-04-01,16730
2021-04-02,17177
2021-04-03,18616
2021-04-04,17592
2021-04-05,18124
2021-04-06,18255
2021-04-07,18219
2021-04-08,17163
2021-04-09,17770
2021-04-10,17668
2021-04-11,18298
2021-04-12,18360
2021-04-13,18367
2021-04-14,19610
2021-04-15,20565
2021-04-16,21237
2021-04-17,20453
2021-04-18,19783
2021-04-19,18967
2021-04-20,18202
2021-04-21,19613
2021-04-22,19949
2021-04-23,20460
2021-04-24,19825
2021-04-25,18555
2021-04-26,19361
2021-04-27,21231
2021-04-28,22163
2021-04-29,22917
2021-04-30,23076
2021-05-01,23516
2021-05-02,24914
2021-05-03,24995
2021-05-04,28967
2021-05-05,27519
2021-05-06,29899
2021-05-07,29445
2021-05-08,29023
2021-05-09,32506
2021-05-10,32655
2021-05-11,33184
2021-05-12,34798
2021-05-13,32909
2021-05-14,31528
2021-05-15,34095
2021-05-16,30520
2021-05-17,29978
2021-05-18,27390
2021-05-19,28149
2021-05-20,20926
2021-05-21,23068
2021-05-22,20152
2021-05-23,19213
2021-05-24,17640
2021-05-25,21953
2021-05-26,22260
2021-05-27,23979
2021-05-28,22709
2021-05-29,20217
2021-05-30,19065
2021-05-31,19899
2021-06-01,22435
2021-06-02,21777
2021-06-03,22475
2021-06-04,23807
2021-06-05,22292
2021-06-06,21715
2021-06-07,22445
2021-06-08,21321
2021-06-09,20914
2021-06-10,21664
2021-06-11,20516
2021-06-12,19624
2021-06-13,19819
2021-06-14,20947
2021-06-15,21533
2021-06-16,21318
2021-06-17,20020
2021-06-18,20358
2021-06-19,19212
2021-06-20,18736
2021-06-21,19384
2021-06-22,16219
2021-06-23,15903
2021-06-24,16719
2021-06-25,16872
2021-06-26,15572
2021-06-27,15432
2021-06-28,16759
2021-06-29,17768
2021-06-30,18490
2021-07-01,19489
2021-07-02,18207
2021-07-03,18422
2021-07-04,19037
2021-07-05,19911
2021-07-06,18957
2021-07-07,19950
2021-07-08,19982
2021-07-09,18281
2021-07-10,18477
2021-07-11,18360
2021-07-12,18406
2021-07-13,17535
2021-07-14,16832
2021-07-15,17222
2021-07-16,16558
2021-07-17,16274
2021-07-18,16491
2021-07-19,16541
2021-07-20,15867
2021-07-21,15616
2021-07-22,17410
2021-07-23,17597
2021-07-24,18397
2021-07-25,18977
2021-07-26,19208
2021-07-27,19239
2021-07-28,19774
2021-07-29,19763
2021-07-30,20385
2021-07-31,21164
2021-08-01,21845
2021-08-02,21977
2021-08-03,22444
2021-08-04,21690
2021-08-05,23459
2021-08-06,24306
2021-08-07,25051
2021-08-08,27321
2021-08-09,26149
2021-08-10,27542
2021-08-11,27450
2021-08-12,27494
2021-08-13,26478
2021-08-14,28711
2021-08-15,28239
2021-08-16,28599
2021-08-17,27279
2021-08-18,26349
2021-08-19,26531
2021-08-20,27691
2021-08-21,28846
2021-08-22,28405
2021-08-23,28570
2021-08-24,28935
2021-08-25,27614
2021-08-26,28072
2021-08-27,27179
2021-08-28,28223
2021-08-29,28032
2021-08-30,27927
2021-08-31,27888
2021-09-01,29661
2021-09-02,32656
2021-09-03,32520
2021-09-04,33636
2021-09-05,33284
2021-09-06,33763
2021-09-07,33748
2021-09-08,29560
2021-09-09,30171
2021-09-10,29589
2021-09-11,27717
2021-09-12,28219
2021-09-13,29514
2021-09-14,28408
2021-09-15,29494
2021-09-16,30863
2021-09-17,30805
2021-09-18,29632
2021-09-19,29766
2021-09-20,28947
2021-09-21,25825
2021-09-22,23853
2021-09-23,26733
2021-09-24,27269
2021-09-25,25354
2021-09-26,25495
2021-09-27,26468
2021-09-28,25597
2021-09-29,24444
2021-09-30,25130
2021-10-01,26414
2021-10-02,28915
2021-10-03,29692
2021-10-04,29939
2021-10-05,29591
2021-10-06,30772
2021-10-07,31626
2021-10-08,31570
2021-10-09,31083
2021-10-10,31338
2021-10-11,30003
2021-10-12,31037
2021-10-13,30739
2021-10-14,31325
2021-10-15,32781
2021-10-16,33465
2021-10-17,33197
2021-10-18,33195
2021-10-19,32503
2021-10-20,33515
2021-10-21,35814
2021-10-22,35065
2021-10-23,34213
2021-10-24,35831
2021-10-25,35166
2021-10-26,36411
2021-10-27,35771
2021-10-28,33873
2021-10-29,36496
2021-10-30,37999
2021-10-31,37154
2021-11-01,36898
2021-11-02,36893
2021-11-03,39408
2021-11-04,39302
2021-11-05,39068
2021-11-06,39505
2021-11-07,39789
2021-11-08,39639
2021-11-09,41298
2021-11-10,40659
2021-11-11,40410
2021-11-12,41240
2021-11-13,41025
2021-11-14,40862
2021-11-15,40765
2021-11-16,40362
2021-11-17,37759
2021-11-18,38143
2021-11-19,35403
2021-11-20,38672
2021-11-21,39734
2021-11-22,38683
2021-11-23,36882
2021-11-24,39372
2021-11-25,38955
2021-11-26,41168
2021-11-27,37075
2021-11-28,37403
2021-11-29,39261
2021-11-30,40278
2021-12-01,41861
2021-12-02,41713
2021-12-03,40908
2021-12-04,38760
2021-12-05,37533
2021-12-06,38423
2021-12-07,39548
2021-12-08,39218
2021-12-09,40040
2021-12-10,37655
