Date,Price
2018-01-01,6345
2018-01-02,7155
2018-01-03,7879
2018-01-04,7959
2018-01-05,8199
2018-01-06,8583
2018-01-07,9267
2018-01-08,9723
2018-01-09,11216
2018-01-10,11023
2018-01-11,9608
2018-01-12,10591
2018-01-13,11655
2018-01-14,11342
2018-01-15,10660
2018-01-16,8586
2018-01-17,8228
2018-01-18,8306
2018-01-19,8421
2018-01-20,9435
2018-01-21,8458
2018-01-22,8030
2018-01-23,7935
2018-01-24,8384
2018-01-25,8401
2018-01-26,8253
2018-01-27,8623
2018-01-28,9740
2018-01-29,9227
2018-01-30,9162
2018-01-31,8347
2018-02-01,8716
2018-02-02,8011
2018-02-03,7230
2018-02-04,7445
2018-02-05,6608
2018-02-06,5458
2018-02-07,6245
2018-02-08,6080
2018-02-09,6549
2018-02-10,7042
2018-02-11,6907
2018-02-12,6618
2018-02-13,6954
2018-02-14,6694
2018-02-15,7280
2018-02-16,7361
2018-02-17,7449
2018-02-18,7685
2018-02-19,7283
2018-02-20,7420
2018-02-21,7312
2018-02-22,6568
2018-02-23,6593
2018-02-24,7065
2018-02-25,6771
2018-02-26,6895
2018-02-27,7044
2018-02-28,7151
2018-03-01,7017
2018-03-02,7057
2018-03-03,7017
2018-03-04,6966
2018-03-05,6953
2018-03-06,6942
2018-03-07,6639
2018-03-08,6189
2018-03-09,5781
2018-03-10,5864
2018-03-11,5650
2018-03-12,5878
2018-03-13,5729
2018-03-14,5624
2018-03-15,4979
2018-03-16,5012
2018-03-17,4993
2018-03-18,4601
2018-03-19,4415
2018-03-20,4531
2018-03-21,4555
2018-03-22,4595
2018-03-23,4431
2018-03-24,4429
2018-03-25,4276
2018-03-26,4282
2018-03-27,3990
2018-03-28,3695
2018-03-29,3710
2018-03-30,3221
2018-03-31,3298
2018-04-01,3302
2018-04-02,3166
2018-04-03,3233
2018-04-04,3487
2018-04-05,3192
2018-04-06,3240
2018-04-07,3104
2018-04-08,3217
2018-04-09,3333
2018-04-10,3333
2018-04-11,3425
2018-04-12,3558
2018-04-13,4109
2018-04-14,4144
2018-04-15,4195
2018-04-16,4454
2018-04-17,4267
2018-04-18,4188
2018-04-19,4347
2018-04-20,4761
2018-04-21,4985
2018-04-22,5070
2018-04-23,5219
2018-04-24,5419
2018-04-25,5998
2018-04-26,5252
2018-04-27,5687
2018-04-28,5558
2018-04-29,5823
2018-04-30,5898
2018-05-01,5797
2018-05-02,5885
2018-05-03,6034
2018-05-04,6885
2018-05-05,6846
2018-05-06,7102
2018-05-07,6926
2018-05-08,6611
2018-05-09,6558
2018-05-10,6478
2018-05-11,6205
2018-05-12,5807
2018-05-13,5875
2018-05-14,6242
2018-05-15,6287
2018-05-16,6113
2018-05-17,6107
2018-05-18,5819
2018-05-19,6006
2018-05-20,6003
2018-05-21,6165
2018-05-22,5977
2018-05-23,5566
2018-05-24,5085
2018-05-25,5237
2018-05-26,5105
2018-05-27,5089
2018-05-28,4946
2018-05-29,4514
2018-05-30,5039
2018-05-31,4894
2018-06-01,5038
2018-06-02,5062
2018-06-03,5144
2018-06-04,5374
2018-06-05,5137
2018-06-06,5251
2018-06-07,5221
2018-06-08,5180
2018-06-09,5142
2018-06-10,5061
2018-06-11,4551
2018-06-12,4586
2018-06-13,4277
2018-06-14,4087
