Date,Price
2019-01-01,1174
2019-01-02,1226
2019-01-03,1382
2019-01-04,1321
2019-01-05,1372
2019-01-06,1378
2019-01-07,1385
2019-01-08,1333
2019-01-09,1321
2019-01-10,1319
2019-01-11,1127
2019-01-12,1114
2019-01-13,1106
2019-01-14,1026
2019-01-15,1140
2019-01-16,1075
2019-01-17,1099
2019-01-18,1100
2019-01-19,1076
2019-01-20,1110
2019-01-21,1062
2019-01-22,1044
2019-01-23,1063
2019-01-24,1050
2019-01-25,1055
2019-01-26,1042
2019-01-27,1043
2019-01-28,1018
2019-01-29,954
2019-01-30,948
2019-01-31,978
2019-02-01,962
2019-02-02,969
2019-02-03,985
2019-02-04,971
2019-02-05,980
2019-02-06,978
2019-02-07,962
2019-02-08,965
2019-02-09,1107
2019-02-10,1108
2019-02-11,1158
2019-02-12,1126
2019-02-13,1134
2019-02-14,1132
2019-02-15,1120
2019-02-16,1127
2019-02-17,1140
2019-02-18,1242
2019-02-19,1345
2019-02-20,1338
2019-02-21,1386
2019-02-22,1361
2019-02-23,1384
2019-02-24,1474
2019-02-25,1253
2019-02-26,1283
2019-02-27,1262
2019-02-28,1250
2019-03-01,1252
2019-03-02,1251
2019-03-03,1227
2019-03-04,1208
2019-03-05,1174
2019-03-06,1271
2019-03-07,1276
2019-03-08,1293
2019-03-09,1259
2019-03-10,1294
2019-03-11,1278
2019-03-12,1241
2019-03-13,1249
2019-03-14,1223
2019-03-15,1229
2019-03-16,1259
2019-03-17,1302
2019-03-18,1280
2019-03-19,1271
2019-03-20,1275
2019-03-21,1269
2019-03-22,1239
2019-03-23,1264
2019-03-24,1272
2019-03-25,1261
2019-03-26,1236
2019-03-27,1238
2019-03-28,1295
2019-03-29,1280
2019-03-30,1331
2019-03-31,1323
2019-04-01,1314
2019-04-02,1315
2019-04-03,1530
2019-04-04,1486
2019-04-05,1461
2019-04-06,1536
2019-04-07,1538
2019-04-08,1618
2019-04-09,1668
2019-04-10,1622
2019-04-11,1642
2019-04-12,1532
2019-04-13,1525
2019-04-14,1520
2019-04-15,1553
2019-04-16,1488
2019-04-17,1542
2019-04-18,1538
2019-04-19,1614
2019-04-20,1611
2019-04-21,1611
2019-04-22,1583
2019-04-23,1591
2019-04-24,1600
2019-04-25,1563
2019-04-26,1467
2019-04-27,1494
2019-04-28,1506
2019-04-29,1490
2019-04-30,1465
2019-05-01,1526
2019-05-02,1521
2019-05-03,1541
2019-05-04,1589
2019-05-05,1553
2019-05-06,1553
2019-05-07,1653
2019-05-08,1632
2019-05-09,1635
2019-05-10,1646
2019-05-11,1660
2019-05-12,1891
2019-05-13,1801
2019-05-14,1890
2019-05-15,2097
2019-05-16,2389
2019-05-17,2555
2019-05-18,2348
2019-05-19,2269
2019-05-20,2513
2019-05-21,2435
2019-05-22,2471
2019-05-23,2355
2019-05-24,2352
2019-05-25,2373
2019-05-26,2394
2019-05-27,2537
2019-05-28,2619
2019-05-29,2600
2019-05-30,2567
2019-05-31,2435
2019-06-01,2546
2019-06-02,2514
2019-06-03,2561
2019-06-04,2378
2019-06-05,2267
2019-06-06,2330
2019-06-07,2355
2019-06-08,2356
2019-06-09,2299
2019-06-10,2183
2019-06-11,2328
2019-06-12,2315
2019-06-13,2468
2019-06-14,2418
2019-06-15,2504
2019-06-16,2544
2019-06-17,2552
2019-06-18,2588
2019-06-19,2524
2019-06-20,2552
2019-06-21,2562
2019-06-22,2754
